date,modal_price,min_price,max_price,year,month,day_of_year,weekday,spread,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90
2021-02-05,5576.375,5468.875,5661.375,2021,2,36,4,192.5,5044.109137055838,7305.689873417721,5025.693877551021,5134.285714285715,5802.542616510453,5242.413794760753,4666.797951865249
2021-02-06,6244.5610328638495,6071.619718309859,6368.2018779342725,2021,2,37,5,296.5821596244132,5576.375,7344.56,5052.443181818182,5029.537037037037,5645.399906919575,5282.914594621648,4679.413033300362
2021-02-07,6243.145418326693,6052.247011952191,6357.752988047809,2021,2,38,6,305.50597609561737,6244.5610328638495,7295.792307692308,5680.5,4055.1805555555557,5495.021779867343,5355.846756714019,4703.649583146176
2021-02-08,6578.426751592357,6457.0573248407645,6633.859872611465,2021,2,39,0,176.80254777070058,6243.145418326693,5204.952662721894,6278.109539473684,3850.3248847926266,5691.232363991695,5446.783485607343,4733.8421683191855
2021-02-09,6977.78125,6793.703125,7116.838541666667,2021,2,40,1,323.13541666666697,6578.426751592357,5188.342541436464,6181.396907216495,3712.5393258426966,5946.866465215057,5555.624883079253,4769.769089218089
2021-02-10,7362.8015873015875,7201.174603174603,7492.007936507936,2021,2,41,2,290.83333333333303,6977.78125,4963.666666666667,6440.925925925926,4065.641025641026,6289.60002530576,5665.5302351346045,4805.542440188107
2021-02-11,7404.08,7211.056,7483.432,2021,2,42,3,272.3760000000002,7362.8015873015875,5044.109137055838,6884.248387096774,4012.8347639484978,6626.73872001207,5778.571743002989,4842.681806443251
2021-02-12,7263.316091954023,7094.264367816092,7350.758620689655,2021,2,43,4,256.4942528735628,7404.08,5576.375,7305.689873417721,4160.549828178694,6867.73030457693,5881.997285128833,4876.563215828164
2021-03-01,5139.722222222223,5021.5,5206.333333333333,2021,3,60,0,184.83333333333303,7263.316091954023,6244.5610328638495,7344.56,4352.5,6709.896188770983,5908.238025869574,4885.482573852855
2021-03-02,5170.6796875,4976.395833333333,5303.1875,2021,3,61,1,326.79166666666697,5139.722222222223,6243.145418326693,7295.792307692308,4563.766917293233,6556.686798652884,5928.468451543132,4892.462839114483
2021-03-03,4904.698464163822,4668.84300341297,5041.632252559727,2021,3,62,2,372.78924914675736,5170.6796875,6578.426751592357,5204.952662721894,4742.165625,6317.582757591665,5933.8862128485935,4894.620733696223
2021-03-04,5072.794007490636,4881.662921348315,5179.063670411985,2021,3,63,3,297.40074906367045,4904.698464163822,6977.78125,5188.342541436464,4800.412322274881,6045.44172294747,5942.965602355785,4897.523375857034
2021-03-05,5992.160714285715,5852.982142857143,6100.482142857143,2021,3,64,4,247.5,5072.794007490636,7362.8015873015875,4963.666666666667,5057.985074626866,5849.635883945202,5974.104790344413,4907.191063981665
2021-03-06,6326.088495575221,6146.623893805309,6432.398230088495,2021,3,65,5,285.77433628318613,5992.160714285715,7404.08,5044.109137055838,5085.581560283688,5695.637097598805,6015.455021520798,4921.045719582219
2021-03-07,6305.580882352941,6114.671568627451,6412.230392156863,2021,3,66,6,297.5588235294117,6326.088495575221,7263.316091954023,5576.375,5189.156028368794,5558.817781941508,6052.6691833202685,4946.053807817513
2021-03-08,6560.539603960396,6410.4009900990095,6676.60396039604,2021,3,67,0,266.20297029703033,6305.580882352941,5139.722222222223,6244.5610328638495,5127.432885906041,5761.79169361839,6100.439407255415,4975.593934786011
2021-03-09,7084.068,6867.108,7196.636,2021,3,68,1,329.52800000000025,6560.539603960396,5170.6796875,6243.145418326693,5025.693877551021,6035.13288111839,6169.051878003714,5011.245357008233
2021-03-10,7281.593220338983,7182.3050847457625,7368.762711864407,2021,3,69,2,186.45762711864427,7084.068,4904.698464163822,6578.426751592357,5052.443181818182,6374.689274857699,6243.35687928774,5046.84168264485
2021-03-11,7372.5392156862745,7175.382352941177,7472.264705882353,2021,3,70,3,296.8823529411766,7281.593220338983,5072.794007490636,6977.78125,5680.5,6703.224304599933,6299.758186477283,5084.454167757413
