date,modal_price,min_price,max_price,year,month,day_of_year,weekday,spread,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90
2022-08-06,6391.447916666667,5698.755208333333,6737.463541666667,2022,8,218,5,1038.708333333334,6381.766666666666,5390.552380952381,7143.512315270936,5202.45045045045,6324.370744008753,6006.777849153525,5912.149156815336
2022-08-07,5844.204301075269,5199.801075268817,6057.645161290323,2022,8,219,6,857.844086021506,6391.447916666667,5227.658695652174,6674.643478260869,6073.125,6412.448687640624,5999.147159189366,5910.867162867893
2022-08-08,5844.539772727273,5264.946022727273,6032.184659090909,2022,8,220,0,767.238636363636,5844.204301075269,5978.294117647059,6305.927536231884,5749.976190476191,6393.340924080655,6002.299278597736,5910.069140242138
2022-08-09,4995.108823529412,4475.144117647059,5210.041176470589,2022,8,221,1,734.8970588235297,5844.539772727273,6135.21875,5751.233695652174,6606.866666666667,6230.4680774419985,5948.574017159827,5888.329079551194
2022-08-10,4513.986394557823,4027.1020408163267,4775.557823129252,2022,8,222,2,748.4557823129253,4995.108823529412,7006.362549800797,5717.166666666667,7150.637254901961,5874.414340978717,5860.685655148355,5860.8404363161235
2022-08-11,5398.256944444444,4873.854166666667,5694.5,2022,8,223,3,820.645833333333,4513.986394557823,7149.846511627907,4969.270718232045,6746.083832335329,5624.187259952508,5815.75809221866,5848.444680143285
2022-08-12,5226.310861423221,4599.131086142322,5476.9625468164795,2022,8,224,4,877.8314606741578,5398.256944444444,6381.766666666666,4600.9156118143455,6250.471910112359,5459.12214491773,5781.619390595689,5836.813725556946
2022-09-01,5663.715789473685,4811.534210526315,6025.473684210527,2022,9,244,3,1213.9394736842114,5226.310861423221,6391.447916666667,5390.552380952381,5768.461538461538,5355.16041246159,5778.127865629427,5833.623189021434
2022-09-02,6131.043307086614,5350.452755905511,6462.818897637795,2022,9,245,4,1112.3661417322837,5663.715789473685,5844.204301075269,5227.658695652174,5889.53591160221,5396.137413320353,5786.178112145573,5835.563939571554
2022-09-03,7042.319327731092,6176.1596638655465,7375.878151260505,2022,9,246,5,1199.7184873949582,6131.043307086614,5844.539772727273,5978.294117647059,5029.10544217687,5567.248778320899,5853.285241664047,5855.947041701295
2022-09-04,7055.330578512397,6540.909090909091,7304.429752066116,2022,9,247,6,763.5206611570247,7042.319327731092,4995.108823529412,6135.21875,4560.806074766355,5861.566171889896,5936.436058455582,5885.117692262856
2022-09-05,6663.581005586592,5951.72625698324,6954.581005586592,2022,9,248,0,1002.8547486033522,7055.330578512397,4513.986394557823,7006.362549800797,5149.484848484848,6168.651116322579,5986.905930358974,5905.6408339044865
2022-09-06,6419.939759036145,5883.680722891566,6720.512048192771,2022,9,249,1,836.8313253012047,6663.581005586592,5398.256944444444,7149.846511627907,5198.995762711865,6314.605804121392,6027.604063569783,5918.651378552213
2022-09-07,5874.0,5417.422764227642,6048.081300813008,2022,9,250,2,630.6585365853662,6419.939759036145,5226.310861423221,6381.766666666666,6058.048559670782,6407.132823918075,6021.469111580756,5919.591934107769
2022-09-08,5886.163636363636,5490.545454545455,6052.709090909091,2022,9,251,3,562.1636363636362,5874.0,5663.715789473685,6391.447916666667,6190.123595505618,6438.911087759496,6011.337112942691,5918.8121804738685
2022-09-09,4997.231481481482,4468.444444444444,5238.777777777777,2022,9,252,4,770.333333333333,5886.163636363636,6131.043307086614,5844.204301075269,6957.795275590551,6276.9379698159055,5945.984986472389,5895.562740478318
2022-09-10,4471.026315789473,4170.131578947368,4666.236842105263,2022,9,253,5,496.105263157895,4997.231481481482,7042.319327731092,5844.539772727273,7143.512315270936,5909.610396681389,5856.902119823007,5868.58202929175
2022-09-11,5327.933544303797,4552.322784810127,5690.098101265823,2022,9,254,6,1137.7753164556962,4471.026315789473,7055.330578512397,4995.108823529412,6674.643478260869,5662.839391794447,5812.011788691105,5854.266874580075
2022-09-12,5268.149305555556,4604.180555555556,5528.8125,2022,9,255,0,924.6319444444443,5327.933544303797,6663.581005586592,4513.986394557823,6305.927536231884,5463.492006075727,5777.419181001893,5843.483801316464
2022-10-01,6094.933609958506,5223.49377593361,6445.083402489627,2022,10,274,5,1221.5896265560168,5268.149305555556,6419.939759036145,5398.256944444444,5751.233695652174,5417.062556207493,5788.875844812104,5844.335079381883
2022-10-02,6190.89406779661,5422.983050847458,6498.771186440678,2022,10,275,6,1075.7881355932204,6094.933609958506,5874.0,5226.310861423221,5717.166666666667,5462.333137321294,5804.666758183102,5847.495886983536
