date,modal_price,min_price,max_price,year,month,day_of_year,weekday,lag_1,lag_7,lag_14,lag_30,roll_7,roll_30,roll_90,arrivals_lag_1,arrivals_roll_7,spread
2023-05-09,10650.0,9600.0,11433.333333333334,2023,5,129,1,9028.555555555555,7855.333333333333,7888.5,5086.666666666667,8394.776211090497,8365.803276815777,7838.624270362354,0.0,0.0,1833.333333333334
2023-05-10,8225.625,7444.375,8921.0,2023,5,130,2,10650.0,6925.833333333333,8421.42857142857,9114.625,8794.014306328592,8551.24772126022,7880.037850609267,0.0,0.0,1476.625
2023-05-12,8388.125,7491.375,9250.1875,2023,5,132,4,8225.625,9870.714285714286,8968.285714285714,7549.122222222223,8979.698830138115,8521.614387926888,7894.663842672759,0.0,0.0,1758.8125
2023-06-01,6607.625,6217.625,7294.0125,2023,6,152,3,8388.125,8030.833333333333,9073.454545454546,7799.444444444444,8767.90036075036,8549.581147186147,7913.726342672759,0.0,0.0,1076.3874999999998
2023-06-02,8381.0,7457.111111111111,8861.722222222223,2023,6,153,4,6607.625,8323.363636363636,10755.75,8816.25,8564.584884559885,8509.853832371333,7898.612652196568,0.0,0.0,1404.6111111111113
2023-06-03,8819.142857142857,7844.428571428572,9485.714285714286,2023,6,154,5,8381.0,8728.8,8646.75,8230.0,8572.81865079365,8495.345499038,7903.2626521965685,0.0,0.0,1641.2857142857147
2023-06-04,9736.0,9045.0,10224.0,2023,6,155,6,8819.142857142857,9028.555555555555,7247.857142857143,8553.125,8585.72477324263,8514.983594276093,7912.172017275934,0.0,0.0,1179.0
2023-06-05,8305.0,7654.0,8761.5,2023,6,156,0,9736.0,10650.0,7855.333333333333,8044.0,8686.788265306122,8554.41276094276,7952.416461720379,0.0,0.0,1107.5
2023-06-06,8294.375,7311.875,8910.3125,2023,6,157,1,8305.0,8225.625,6925.833333333333,8496.5,8351.788265306122,8563.11276094276,7969.5868320907475,0.0,0.0,1598.4375
2023-06-07,8989.866666666667,8202.0,9606.446666666667,2023,6,158,2,8294.375,8388.125,9870.714285714286,8932.2,8361.60969387755,8556.37526094276,7961.74655431297,0.0,0.0,1404.4466666666667
2023-06-09,10783.333333333334,9610.0,11520.0,2023,6,160,4,8989.866666666667,6607.625,8030.833333333333,9754.166666666666,8447.572789115646,8558.297483164983,7974.599239498156,0.0,0.0,1910.0
2023-06-10,8025.0,7346.875,8584.375,2023,6,161,5,10783.333333333334,8381.0,8323.363636363636,8677.90909090909,9044.102551020409,8592.60303872054,8018.685659251243,0.0,0.0,1237.5
2023-06-11,7801.777777777777,7379.111111111111,8397.555555555555,2023,6,162,6,8025.0,8819.142857142857,8728.8,8491.258333333333,8993.245408163266,8570.839402356902,8032.160967893218,0.0,0.0,1018.4444444444434
2023-06-12,7168.285714285715,6330.142857142857,8364.57142857143,2023,6,163,0,7801.777777777777,9736.0,9028.555555555555,7067.5,8847.90753968254,8547.856717171717,8049.02905431297,0.0,0.0,2034.4285714285725
2023-07-01,6880.714285714285,6257.857142857143,7430.728571428571,2023,7,182,5,7168.285714285715,8305.0,10650.0,8225.728571428572,8481.091213151927,8551.21624098124,8046.343340027256,0.0,0.0,1172.8714285714277
2023-07-02,7834.285714285715,7315.714285714285,8339.0,2023,7,183,6,6880.714285714285,8294.375,8225.625,8370.142857142857,8277.621825396825,8506.382431457432,8040.642943201859,0.0,0.0,1023.2857142857147
2023-07-03,9118.75,8587.5,9681.25,2023,7,184,0,7834.285714285715,8989.866666666667,8388.125,7888.5,8211.8947845805,8488.520526695527,8029.357228916145,0.0,0.0,1093.75
2023-07-04,7267.0,6603.0,7711.6,2023,7,185,1,9118.75,10783.333333333334,6607.625,8421.42857142857,8230.306689342404,8529.52886002886,8039.104956188873,0.0,0.0,1108.6000000000004
2023-07-06,8514.318181818182,7681.363636363636,9041.40909090909,2023,7,187,3,7267.0,8025.0,8381.0,8968.285714285714,7727.97335600907,8491.047907647908,8037.198606982523,0.0,0.0,1360.045454545454
2023-07-07,9048.846153846154,8083.461538461538,9688.976923076923,2023,7,188,4,8514.318181818182,7801.777777777777,8819.142857142857,9073.454545454546,7797.875953411668,8475.915656565656,8045.429302829887,0.0,0.0,1605.5153846153853
2023-07-08,9147.954545454546,8126.363636363636,10081.372727272728,2023,7,189,5,9048.846153846154,7168.285714285715,9736.0,10755.75,7976.028578564294,8475.095376845376,8068.907223057807,0.0,0.0,1955.0090909090923
2023-07-09,6680.0,4510.0,7430.0,2023,7,190,6,9147.954545454546,6880.714285714285,8305.0,8646.75,8258.838411588413,8421.502195027195,8100.110190229524,0.0,0.0,2920.0
2023-07-10,9187.5,8117.5,10052.5,2023,7,191,0,6680.0,7834.285714285715,8294.375,7247.857142857143,8230.164942200658,8355.943861693862,8105.2373507233515,0.0,0.0,1935.0
2023-07-11,7434.75,6619.875,8413.625,2023,7,192,1,9187.5,9118.75,8989.866666666667,7855.333333333333,8423.48126873127,8420.598623598624,8135.535961834463,0.0,0.0,1793.75
2023-07-12,8637.7,7688.9,9511.210000000001,2023,7,193,2,7434.75,7267.0,10783.333333333334,6925.833333333333,8182.90984015984,8406.57917915418,8138.847998871499,0.0,0.0,1822.3100000000013
2023-08-02,8528.810000000001,8034.9,8881.310000000001,2023,8,214,2,8637.7,8514.318181818182,8025.0,9870.714285714286,8378.724125874125,8463.641401376402,8161.026147019647,0.0,0.0,846.4100000000017
2023-08-03,10656.333333333334,9111.0,11729.666666666666,2023,8,215,3,8528.810000000001,9048.846153846154,7801.777777777777,8030.833333333333,8380.794385614387,8418.911258519258,8169.663718448219,0.0,0.0,2618.666666666666
2023-08-04,7239.0,6630.0,7655.0,2023,8,216,4,10656.333333333334,9147.954545454546,7168.285714285715,8323.363636363636,8610.435411255412,8506.427925185924,8202.8451999297,0.0,0.0,1025.0
2023-08-05,7779.166666666667,7242.5,8155.5,2023,8,217,5,7239.0,6680.0,6880.714285714285,8728.8,8337.72761904762,8470.28247064047,8192.976311040811,0.0,0.0,913.0
